Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Track Running,2025-07-07 20:22:36,FALSE,Walnut Creek Track Running,"1,510",130,0:11,143,152,1.1,156,163,10:51,9:57,--,3,0.96,9.3,8.9,297,--,367,0.0,319,979,"1,592",-2,No,00:10:11,1,00:10:04,00:10:54,206,210
Track Running,2025-07-07 19:56:41,FALSE,Walnut Creek Track Running,"4,350",395,0:24,161,190,3.1,113,207,8:42,4:15,--,--,1.57,6.0,9.1,206,--,456,0.0,323,702,"2,810",-3,No,00:00:00.8,21,00:16:27,00:23:32,205,206
Track Running,2025-07-07 19:42:17,FALSE,Walnut Creek Track Running,"1,610",127,0:11,136,158,1.3,158,171,10:05,7:18,--,--,1.01,9.0,9.0,292,--,314,0.0,307,434,"1,592",-1,No,00:00:01.6,2,00:10:05,00:10:05,203,206
Running,2025-07-07 12:37:04,FALSE,Walnut Creek Running,5.60,924,1:04,156,179,3.4,155,247,11:25,7:45,"1,007","1,004",0.96,9.3,8.4,310,10:20,324,0.0,309,487,"9,848",-12,No,00:05:14.8,6,01:03:50,01:04:39,159,788
Treadmill Running,2025-07-06 10:25:41,FALSE,Treadmill Running,4.08,509,0:31,164,191,3.7,164,176,7:22,6:13,--,--,1.32,7.3,9.7,249,--,421,0.0,404,485,"4,906",-8,No,00:00:28.5,5,00:29:52,00:30:01,--,--
Treadmill Running,2025-07-04 11:50:11,FALSE,Treadmill Running,2.25,292,0:21,145,167,2.6,157,176,8:53,9:39,--,--,0.91,9.1,8.0,282,--,275,0.0,256,326,"3,154",-4,No,00:07:32.3,2,00:19:35,00:20:00,--,--
Running,2025-07-03 08:35:37,FALSE,Walnut Creek Running,5.01,623,0:42,142,159,3.0,163,175,8:12,6:30,115,108,1.20,8.1,9.7,269,8:10,384,0.0,380,510,"6,700",-9,No,00:00:03.1,6,00:41:04,00:42:19,108,213
Running,2025-07-02 10:15:43,FALSE,Walnut Creek - Threshold,6.96,890,0:51,173,189,4.3,169,182,7:12,5:51,138,128,1.32,7.4,9.7,249,7:12,443,0.0,433,546,"8,440",-12,No,00:00:04.0,10,00:50:02,00:50:11,132,194
Running,2025-07-01 21:10:04,FALSE,Walnut Creek Running,7.01,881,1:07,143,154,2.7,158,167,9:30,7:44,115,115,1.07,8.8,9.4,290,9:32,327,0.0,326,446,"10,492",-9,No,00:00:04.6,8,01:06:30,01:07:34,79,171
Running,2025-06-30 09:56:38,FALSE,Walnut Creek Running,5.01,641,0:49,140,155,2.4,160,173,9:39,6:45,105,85,1.04,8.9,9.2,288,9:39,326,0.0,324,450,"7,692",-11,No,00:00:02.7,6,00:48:14,00:50:30,104,205
Treadmill Running,2025-06-29 22:26:12,FALSE,Treadmill Running,3.00,486,0:31,157,191,3.2,120,231,10:21,5:34,--,--,1.41,6.5,9.0,223,--,409,0.0,286,531,"3,534",-1,No,00:00:10.3,16,00:19:17,00:31:00,--,--
Treadmill Running,2025-06-29 22:16:15,FALSE,Treadmill Running,0.52,70,0:07,121,161,0.8,140,225,12:29,5:57,--,--,0.98,9.1,8.0,302,--,294,0.0,237,526,908,-1,No,00:06:27.1,1,00:06:19,00:06:27.1,--,--
Running,2025-06-28 09:11:57,FALSE,Walnut Creek Running,3.01,383,0:29,136,148,2.2,160,165,9:34,9:01,56,52,1.06,8.8,9.3,288,9:33,329,0.0,327,366,"4,580",-7,No,00:00:03.3,4,00:28:43,00:28:44,128,183
Running,2025-06-27 07:08:51,FALSE,Walnut Creek Running,17.01,"1,969",2:23,130,163,3.7,162,179,8:22,5:21,361,354,1.18,8.2,9.7,273,8:22,380,0.0,373,600,"23,066",-35,No,00:00:02.6,18,02:22:04,02:28:44,87,220
Running,2025-06-26 08:23:46,FALSE,Walnut Creek Running,7.01,885,1:02,145,159,3.0,162,169,8:45,6:51,125,112,1.13,8.4,9.5,276,8:44,358,0.0,356,486,"9,906",-16,No,00:00:03.0,8,01:01:09,01:03:09,101,202
Running,2025-06-25 10:05:31,FALSE,Walnut Creek Running,7.01,879,0:59,150,163,3.2,162,171,8:18,6:28,125,118,1.19,8.2,9.7,272,8:20,376,0.0,375,525,"9,420",-14,No,00:00:03.3,8,00:58:09,01:00:30,109,213
Running,2025-06-24 19:53:51,FALSE,Walnut Creek Running,5.01,624,0:51,128,147,2.3,157,165,10:06,7:58,102,82,1.01,9.1,9.2,295,10:05,313,0.0,311,406,"7,946",-6,No,00:00:07.2,6,00:50:37,00:53:16,94,198
Running,2025-06-24 09:19:47,FALSE,Walnut Creek Running,3.01,320,0:19,160,182,3.1,174,181,6:06,5:24,59,59,1.50,6.6,9.9,223,6:07,508,0.0,503,587,"3,192",-4,No,00:00:02.3,4,00:18:20,00:18:22,128,188
Treadmill Running,2025-06-23 08:47:53,FALSE,Treadmill Running,0.99,201,0:32,102,116,0.4,96,150,32:10,18:25,--,--,0.67,8.6,5.5,432,--,85,0.0,78,175,"3,156",-1,No,00:31:47,1,00:26:15,00:31:47,--,--
Running,2025-06-22 08:29:22,FALSE,Walnut Creek - Base,10.01,"1,236",1:23,151,169,3.5,163,170,8:15,5:38,167,157,1.19,8.1,9.6,269,8:16,377,0.0,376,563,"13,462",-19,No,00:00:32.5,11,01:22:19,01:25:20,96,205
Running,2025-06-21 08:03:05,FALSE,Walnut Creek - Sprint,7.01,852,1:00,144,158,3.1,161,212,8:26,3:49,128,135,1.17,8.3,9.6,277,8:29,372,0.0,366,794,"9,440",-15,No,00:00:10,24,00:59:05,00:59:19,125,186
Running,2025-06-20 07:18:24,FALSE,Walnut Creek Running,7.00,857,1:05,130,145,2.7,158,221,9:12,7:16,128,128,1.10,8.7,9.6,288,9:16,341,0.0,339,455,"10,196",-17,No,00:00:01.9,8,01:04:24,01:06:42,99,211
Running,2025-06-16 08:39:23,FALSE,Walnut Creek Running,5.01,590,0:37,150,166,3.3,165,183,7:23,6:07,69,72,1.31,7.7,9.9,259,7:27,432,0.0,420,569,"6,088",-9,No,00:00:01.7,6,00:36:55,00:36:58,156,178
Running,2025-06-14 07:02:53,FALSE,Walnut Creek Running,15.01,"1,838",1:58,155,177,4.3,164,176,7:51,6:21,197,203,1.25,7.9,9.8,264,7:52,401,0.0,396,570,"19,320",-28,No,00:00:02.4,16,01:57:47,02:00:00,99,206
Running,2025-06-13 09:17:40,FALSE,Walnut Creek Running,5.00,644,0:45,146,168,2.8,160,169,8:53,5:47,128,128,1.13,8.5,9.6,281,8:53,352,0.0,350,540,"7,108",-11,No,00:00:02.1,6,00:44:24,00:45:28,81,188
Running,2025-06-12 08:01:50,FALSE,Walnut Creek Running,5.01,652,0:42,154,171,3.2,162,176,8:19,4:53,102,95,1.19,8.1,9.7,271,8:18,379,0.0,375,672,"6,744",-10,No,00:00:02.1,6,00:41:36,00:42:15,103,206
Running,2025-06-11 07:41:08,FALSE,Walnut Creek Running,1.00,122,0:10,131,141,1.1,159,167,9:09,8:16,20,20,1.10,8.6,9.5,283,9:09,346,0.0,341,382,"1,460",-2,No,00:00:02.7,2,00:09:09.7,00:09:11.4,161,182
Running,2025-06-11 07:07:49,FALSE,Walnut Creek Running,4.14,475,0:31,152,184,3.1,148,188,7:26,5:34,59,62,1.46,6.7,9.6,224,7:26,476,0.0,412,620,"4,582",-9,No,00:00:01.8,11,00:27:02,00:30:48,159,182
Running,2025-06-11 06:56:56,FALSE,Walnut Creek Running,1.00,120,0:09,141,159,1.7,162,170,8:10,7:03,10,16,1.21,8.0,9.6,267,8:10,386,0.0,377,430,"1,342",-3,No,00:00:02.2,2,00:08:10,00:08:12.1,167,190
Running,2025-06-10 07:19:34,FALSE,Walnut Creek Running,5.01,628,0:49,135,149,2.4,158,170,9:45,8:06,115,108,1.04,8.9,9.3,291,9:44,324,0.0,321,484,"7,712",-14,No,00:00:03.2,6,00:48:48,00:49:48,103,211
Running,2025-06-09 13:28:34,FALSE,Walnut Creek - Anaerobic,9.71,"1,252",1:22,160,183,3.8,163,191,8:21,4:30,203,197,1.17,8.3,9.5,274,8:23,397,0.0,374,689,"13,046",-21,No,00:00:02.3,34,01:20:59,01:21:02,110,179
Running,2025-06-08 07:38:33,FALSE,Walnut Creek - Recovery,3.08,385,0:33,130,139,2.0,156,161,10:24,9:39,62,69,0.99,9.2,9.1,298,10:24,303,0.0,301,363,"4,978",-7,No,00:00:02.4,5,00:32:01,00:32:02,129,189
Running,2025-06-07 06:29:31,FALSE,Walnut Creek Running,16.01,"1,953",2:10,152,176,4.2,164,215,8:05,6:19,246,253,1.21,8.0,9.7,267,8:05,393,0.0,385,564,"21,170",-23,No,00:00:01.6,17,02:09:16,02:11:22,97,209
Running,2025-06-06 07:10:31,FALSE,Walnut Creek Running,5.01,619,0:38,159,184,3.5,166,183,7:27,5:28,98,98,1.30,7.6,9.9,257,7:26,426,0.0,417,590,"6,178",-8,No,00:00:02.5,6,00:37:14,00:38:33,106,210
Running,2025-06-05 07:07:29,FALSE,Walnut Creek Running,1.01,95,0:06,158,171,2.0,178,187,5:34,5:15,10,20,1.59,6.1,9.6,205,5:39,533,0.0,523,648,"1,012",-2,No,00:00:01.7,2,00:05:36.4,00:05:37.1,154,177
Treadmill Running,2025-06-05 06:57:44,FALSE,Treadmill Running,0.54,65,0:07,118,134,0.4,154,161,11:39,11:01,--,--,0.91,9.6,8.7,303,--,269,0.0,263,281,970,-1,No,00:06:19.8,1,00:06:13,00:06:19.8,--,--
Track Running,2025-06-04 20:08:37,FALSE,Walnut Creek Track Running,"1,610",149,0:12,150,160,1.5,156,163,11:02,9:47,--,3,0.96,9.3,8.9,300,--,289,0.0,287,332,"1,720",-1,No,00:00:02.1,2,00:11:01,00:11:03,201,206
Track Running,2025-06-04 19:34:36,FALSE,Walnut Creek Track Running,"7,210",550,0:31,176,184,3.8,170,184,6:44,5:10,--,--,1.42,7.0,10.0,238,--,466,0.0,465,600,"5,138",-5,No,00:03:09.9,5,00:30:09,00:30:10,200,206
Track Running,2025-06-04 19:09:35,FALSE,Walnut Creek Track Running,"3,200",257,0:22,134,146,1.6,154,160,10:44,9:53,--,3,0.97,9.3,9.0,302,--,292,0.0,289,325,"3,284",-6,No,00:00:02.1,3,00:21:17,00:21:20,199,206
Running,2025-06-03 06:50:39,FALSE,Walnut Creek Running,5.01,614,0:46,138,151,2.5,158,169,9:08,7:20,105,112,1.11,8.6,9.6,286,9:09,341,0.0,340,492,"7,262",-12,No,00:00:02.9,6,00:45:40,00:47:51,93,201
Treadmill Running,2025-06-02 10:16:43,FALSE,Treadmill Running,1.00,88,0:06,155,170,1.8,184,189,5:28,5:06,--,--,1.29,6.8,8.6,225,--,438,0.0,424,559,994,-1,No,00:05:27.7,1,00:05:26,00:05:27.7,--,--
Running,2025-06-02 09:18:59,FALSE,Walnut Creek Running,5.01,652,0:48,146,160,2.7,158,170,9:31,6:55,108,108,1.07,8.8,9.4,290,9:31,331,0.0,328,515,"7,516",-13,No,00:00:03.4,6,00:47:35,00:49:10,86,192
Running,2025-06-01 07:12:57,FALSE,Walnut Creek Running,4.00,493,0:42,129,140,2.1,157,163,10:27,9:20,69,82,0.98,9.2,9.0,298,10:28,301,0.0,300,367,"6,544",-9,No,00:00:03.0,5,00:41:48,00:42:27,116,172
Running,2025-05-31 06:50:08,FALSE,Walnut Creek Running,13.20,"1,689",1:49,159,177,4.1,162,177,8:13,6:19,187,180,1.20,8.1,9.7,271,8:12,382,0.0,379,559,"17,600",-24,No,00:01:28.9,14,01:48:26,01:49:52,87,211
Track Running,2025-05-30 06:40:02,FALSE,Walnut Creek Track Running,"4,430",357,0:25,145,173,2.5,118,196,8:47,4:41,--,--,1.55,6.2,9.1,210,--,445,0.0,324,642,"2,964",-6,No,00:01:00.1,20,00:18:30,00:24:12,202,206
Track Running,2025-05-30 06:33:05,FALSE,Walnut Creek Track Running,810,60,0:06,125,142,0.4,147,172,11:05,5:09,--,--,0.91,9.5,8.6,303,--,269,0.0,258,496,860,-1,No,00:05:34.7,1,00:05:33,00:05:34.7,206,206
Running,2025-05-29 18:49:45,FALSE,Walnut Creek Running,6.01,767,0:46,169,188,3.9,165,181,7:30,5:37,98,102,1.30,7.7,9.9,259,7:30,425,0.0,416,551,"7,422",-10,No,00:00:01.8,7,00:44:59,00:45:13,110,153
Running,2025-05-29 07:43:07,FALSE,Walnut Creek Running,3.10,387,0:34,126,144,2.0,155,223,10:49,8:44,115,98,0.95,9.4,8.9,301,10:47,294,0.0,291,438,"5,172",-7,No,00:01:07.3,4,00:33:27,00:34:57,120,221
Running,2025-05-28 19:06:56,FALSE,Walnut Creek Running,5.01,620,0:40,153,169,3.3,163,183,7:49,5:09,108,112,1.26,7.9,9.9,266,7:51,404,0.0,400,593,"6,384",-8,No,00:00:02.4,6,00:39:07,00:40:56,89,196
Running,2025-05-28 09:39:27,FALSE,Walnut Creek Running,3.01,348,0:20,170,189,3.3,173,181,6:28,5:57,56,62,1.44,6.8,9.8,232,6:28,481,0.0,478,545,"3,356",-5,No,00:00:02.3,4,00:19:24,00:19:26,123,190
Running,2025-05-27 07:05:31,FALSE,Walnut Creek Running,6.01,758,1:00,137,154,2.6,156,165,9:52,8:21,59,62,1.04,9.0,9.3,295,9:53,317,0.0,315,459,"9,250",-13,No,00:00:02.9,7,00:59:11,01:00:04,169,204
Running,2025-05-26 07:25:25,FALSE,Walnut Creek Running,8.01,"1,007",1:05,155,174,3.7,161,174,8:06,6:37,230,236,1.23,8.1,9.9,271,8:06,396,0.0,389,558,"10,466",-17,No,00:00:02.6,9,01:04:46,01:07:44,85,226
Track Running,2025-05-25 08:22:16,FALSE,Walnut Creek Track Running,"1,610",129,0:11,133,142,1.1,155,161,10:02,9:16,--,--,1.05,8.9,9.4,294,--,321,0.0,316,362,"1,552",-2,No,00:00:02.1,2,00:09:59,00:10:02,206,209
Track Running,2025-05-25 07:49:29,FALSE,Walnut Creek Track Running,"6,410",477,0:28,167,177,3.4,169,177,6:48,5:54,--,3,1.41,7.2,10.1,243,--,461,0.0,460,545,"4,576",-7,No,00:00:01.7,5,00:27:05,00:27:06,206,216
Track Running,2025-05-25 07:26:17,FALSE,Walnut Creek Track Running,"3,210",259,0:21,133,147,1.8,155,161,10:21,8:32,--,--,1.03,9.1,9.3,298,--,310,0.0,309,382,"3,176",-5,No,00:00:02.4,3,00:20:38,00:20:39,206,217
Treadmill Running,2025-05-24 11:46:09,FALSE,Treadmill Running,0.50,107,0:14,110,131,0.3,91,139,27:07,24:10,--,--,0.36,--,5.4,444,--,63,0.0,56,117,"1,350",-1,No,00:13:34,1,00:09:21,00:13:34,--,--
Track Running,2025-05-24 08:23:50,FALSE,Walnut Creek Track Running,"8,530",687,0:46,151,189,3.3,128,203,8:30,5:02,--,--,1.43,7.0,9.8,235,--,443,0.0,351,621,"6,098",-10,No,00:00:02.4,17,00:35:35,00:45:03,206,207
Track Running,2025-05-24 08:09:21,FALSE,Walnut Creek Track Running,"1,610",115,0:12,116,143,1.0,143,209,11:09,5:44,--,89,0.98,8.7,8.2,288,--,318,0.0,265,576,"1,604",-2,No,00:00:02.5,2,00:11:09,00:11:09,129,216
Running,2025-05-22 09:12:01,FALSE,Fullerton Running,1.01,93,0:06,150,162,1.9,182,215,5:49,5:22,7,10,1.51,6.2,9.3,209,5:52,522,0.0,517,606,"1,054",-2,No,00:00:02.1,2,00:05:51.2,00:05:51.3,220,228
Running,2025-05-22 09:06:46,FALSE,Fullerton Running,0.33,39,0:04,125,135,0.4,156,161,10:06,8:36,--,10,1.01,9.0,9.1,295,10:27,302,0.0,299,393,516,-1,No,00:03:17.7,1,00:03:17.7,00:03:17.7,208,220
Running,2025-05-21 14:06:21,FALSE,Fullerton Running,10.01,"1,440",1:32,177,187,4.5,157,170,9:07,7:22,138,141,1.12,8.5,9.5,281,9:06,349,0.0,341,451,"14,350",-19,No,00:00:04.9,11,01:29:56,01:32:23,227,272
Running,2025-05-20 08:54:11,FALSE,Reno Running,10.01,"1,302",1:29,157,178,3.8,159,174,8:49,7:01,499,509,1.14,8.5,9.7,282,8:46,365,0.0,362,486,"14,050",-23,No,00:00:02.6,11,01:28:15,01:29:44,"4,535","4,690"
Running,2025-05-19 08:05:43,FALSE,Reno Running,10.01,"1,304",1:26,157,172,3.7,159,172,8:32,7:14,568,577,1.18,8.3,9.8,280,8:28,381,0.0,375,572,"13,586",-23,No,00:00:04.3,11,01:25:18,01:26:46,"4,530","4,680"
Running,2025-05-18 12:09:48,FALSE,Reno Running,3.01,347,0:22,157,173,3.1,167,176,7:06,5:56,190,174,1.37,7.4,10.1,251,6:59,459,0.0,453,606,"3,550",-5,No,00:00:02.7,4,00:21:19,00:21:20,"4,535","4,685"
